Type,Pos,Width,Rotate,Attr
connection,1048.25_146.75,33_16,0,tank2_3|_|gauge2_6|_|M8#8_L25#8_|_|#000000|_|2|_|33#16
connection,1047.25_172.25,32.5_16,0,gauge2_6|_|tank2_3|_|M24.5#8_L8#8_|_|#000000|_|2|_|32.5#16
connection,922.75_222.25,55_82,0,tank3_5|_|valve5_14|_|M8#56_L8#74_L31#74_L31#8_L47#8_|_|#33cccc|_|3|_|55#82
connection,936.75_242.25,32.5_38,0,gauge2_4|_|gauge2_4|_|M10#8_L24.5#8_L24.5#30_L8#30_|_|#000000|_|2|_|32.5#38
connection,1012.25_237.75,32_37,0,gauge2_5|_|gauge2_5|_|M12#29_L24#29_L24#8_L8#8_|_|#000000|_|2|_|32#37
connection,896.25_458.5,31.5_42,0,gauge2_1|_|gauge2_1|_|M23#8_L8#8_L8#34_L23.5#34_|_|#000000|_|2|_|31.5#42
connection,359.75_559,97_16,0,root|_||_|M89#8_L8#8_|_|#33ff66|_|3|_|97#16
connection,320.25_559,41_16,0,valve5_32|_|connection_26|_|M33#8_L8#8_|_|#33ff66|_|3|_|41#16
connection,380.25_542,79.5_16,0,root|_||_|M71.5#8_L8#8_|_|#33ff66|_|3|_|79.5#16
connection,319.75_542,63_16,0,valve5_31|_|connection_26|_|M55#8_L8#8_|_|#33ff66|_|3|_|63#16
valve5,372.84526581343766_541.6307953787299,15.49207602970546,0,undefined
connection,330_507.75,69.25_35.75,0,valve5_30|_|tank3_1|_|M61.25#27.75_L27.75#27.75_L8#8_|_|#33ff66|_|3|_|69.25#35.75
connection,396.25_528,64.5_16,0,root|_||_|M56.5#8_L8#8_|_|#33ff66|_|3|_|64.5#16
monitoring,314.76710826131614_532.2702211024223,5.269714516,270,undefined
monitoring,314.3269503980679_553.9325247303931,5.269714516,270,undefined
monitoring,115.82826806949441_324.40037370468565,5.269714516,90,undefined
monitoring,684.4147085849996_22.733347721005515,3.705028543262316,270,undefined
monitoring,1036.9452548351749_378.26352308707294,3.5842854695094255,90,undefined
monitoring,941.6253310550036_171.5956131791812,3.705028543262316,270,undefined
connection,922.75_153.25,35_65.5,0,root|_|tank3_5|_|M27#8_L27#57.5_L8#57.5_|_|#33cccc|_|3|_|35#65.5
monitoring,1028.5699683607168_139.7492198623561,4.33302745320021,0,undefined
monitoring,1013.2823408088087_438.8385303315296,3.5842854695094255,270,undefined
connection,919.75_374,120.5_27,0,valve5_29|_|nozzle_0|_|M8#8_L78#8_L78#19_L112.5#19_|_|#990000|_|3|_|120.5#27
connection,940.75_367,119.49999999999999_51.49999999999999,0,valve1_37|_|connection_202|_|M111.5#8_L8#8_L8#43.5_|_|#33cccc|_|3|_|119.5#51.5
connection,891.25_495.5,39_16,0,valve5_25|_|tank2_4|_|M8#8_L31#8_|_|#33cccc|_|3|_|39#16
monitoring,1046.8767667055092_521.4057083427888,3.5842854695094255,90,undefined
monitoring,881.4730105584737_416.4804628484725,3.5842854695094255,0,undefined
connection,1022.25_449,89_64,0,connection_209|_||_|M81#56_L81#8_L8#8_L23#8_|_|#33cccc|_|3|_|89#64
connection,1044.75_366.5,33.5_145.5,0,connection_208|_||_|M25.5#137.5_L25.5#8_L8#8_|_|#33cccc|_|3|_|33.5#145.5
connection,857.25_374,64.5_16,0,root|_||_|M8#8_L56.5#8_|_|#990000|_|3|_|64.5#16
connection,1036.25_497,57_16,0,bucket_8|_||_|M8#8_L49#8_|_|#33cccc|_|3|_|57#16
connection,1082.25_495.5,38_17,0,valve1_36|_|root|_|M8#9_L30#9_L22.5#9_L22.5#8_|_|#33cccc|_|3|_|38#17
connection,872.25_387.5,28_30,0,valve5_28|_|connection_204|_|M20#8_L8#8_L8#22_|_|#33cccc|_|3|_|28#30
connection,898.25_387.5,29.5_29,0,connection_202|_||_|M21.5#21_L21.5#8_L8#8_|_|#33cccc|_|3|_|29.5#29
connection,976.75_402,53.49999999999999_16,0,bucket_9|_||_|M45.5#8_L8#8_|_|#33cccc|_|3|_|53.5#16
connection,898.25_402,89_16,0,valve1_35|_||_|M81#8_L8#8_|_|#33cccc|_|3|_|89#16
connection,862.25_401.5,39.5_16.5,0,valve5_27|_|root|_|M31.5#8.5_L8#8.5_L16.5#8.5_L16.5#8_|_|#33cccc|_|3|_|39.5#16.5
connection,859.75_419.5,54.5_16,0,root|_||_|M8#8_L46.5#8_|_|#33cccc|_|3|_|54.5#16
connection,910.25_420,118_16,0,valve5_26|_|bucket_9|_|M8#8_L110#8_|_|#33cccc|_|3|_|118#16
connection,973.75_443.5,30_43,0,connection_5|_||_|M22#35_L22#8_L8#8_|_|#33cccc|_|3|_|30#43
connection,873.75_444,115_69,0,valve1_34|_|connection_0|_|M107#8_L8#8_L8#61_|_|#33cccc|_|3|_|115#69
monitoring,1013.0084608034407_496.5766191392191,3.5842854695094255,270,undefined
monitoring,856.4453587496274_492.15948901929215,3.5842854695094255,0,undefined
monitoring,872.6602799320293_492.1474632174531,3.5842854695094255,0,undefined
monitoring,865.1662185515771_506.1582695058089,3.5842854695094255,180,undefined
connection,840.75_495.5,54.5_16,0,root|_||_|M8#8_L46.5#8_|_|#33cccc|_|3|_|54.5#16
connection,924.75_505.5,63.5_42,0,valve1_33|_||_|M55.5#34_L8#34_L8#8_|_|#33cccc|_|3|_|63.5#42
connection,977.75_531.5,60_16,0,bucket_8|_||_|M52#8_L8#8_|_|#33cccc|_|3|_|60#16
connection,923.25_470,61.5_16,0,valve1_32|_|tank2_4|_|M53.5#8_L8#8_|_|#33cccc|_|3|_|61.5#16
connection,971.75_470,58_49.5,0,bucket_8|_|valve1_32|_|M50#41.5_L50#8_L8#8_|_|#33cccc|_|3|_|58#49.5
connection,317.5_354,722_235,0,tank3_1|_||_|M8#165_L8#227_L517#227_L517#8_L714#8_L714#29_|_|#AAA|_|7|_|722#235
nozzle,1026.866497619761_381.366497619761,8.883502380239065,0,undefined
nozzle,1026.648802936122_463.3645051132178,8.883502380239065,0,undefined
nozzle,1027.1721888086981_545.114823756662,8.883502380239065,0,undefined
connection,623.75_352,195.99999999999997_229,0,valve9_10|_|connection_154|_|M8#78_L42.5#78_L42.5#221_L188#221_L188#8_L105#8_|_|#000000|_|2|_|196#229
connection,815.25_-3,17_25.5,0,valve5_9|_|root|_|M9#17.5_L9#8_L9#11.5_L8#11.5_|_|#990000|_|3|_|17#25.5
connection,623.25_404,110.5_169.5,0,valve9_8|_|bucket_7|_|M8#8_L66.5#8_L66.5#161.5_L102.5#161.5_L102.5#143_|_|#000000|_|2|_|110.5#169.5
connection,747.75_351.5,16_30.5,0,valve7_4|_|connection_207|_|M8#22.5_L8#8_|_|#000000|_|2|_|16#30.5
connection,721.75_371.5,41.5_22.5,0,root|_|bucket_5|_|M33.5#8_L33.5#14.5_L8#14.5_|_|#000000|_|2|_|41.5#22.5
connection,759.25_385.5,39_16,0,valve3_3|_|connection_211|_|M8#8_L31#8_|_|#000000|_|2|_|39#16
connection,726.25_385.5,47.5_16,0,valve3_3|_|bucket_5|_|M39.5#8_L8#8_|_|#000000|_|2|_|47.5#16
connection,783.25_352.5,16_32.5,0,valve3_2|_|connection_207|_|M8#24.5_L8#8_|_|#000000|_|2|_|16#32.5
connection,783.25_370.5,16_90,0,valve3_1|_||_|M8#82_L8#8_|_|#000000|_|2|_|16#90
connection,740.75_463,41.5_16,0,valve3_0|_|connection_200|_|M33.5#8_L8#8_|_|#000000|_|2|_|41.5#16
connection,746.75_447.5,52.5_99.5,0,valve1_29|_||_|M8#91.5_L44.5#91.5_L44.5#8_|_|#000000|_|2|_|52.5#99.5
connection,768.25_463,32.5_16,0,valve3_0|_|connection_204|_|M8#8_L24.5#8_|_|#000000|_|2|_|32.5#16
connection,726.75_531.5,33_16,0,bucket_7|_||_|M8#8_L25#8_|_|#000000|_|2|_|33#16
connection,739.25_479,16_45.5,0,valve1_28|_|connection_197|_|M8#8_L8#37.5_|_|#0033cc|_|4|_|16#45.5
connection,739.25_443,16_48,0,valve1_28|_|connection_196|_|M8#40_L8#8_|_|#0033cc|_|4|_|16#48
connection,726.25_510,36.5_16,0,bucket_7|_||_|M8#8_L28.5#8_|_|#0033cc|_|4|_|36.5#16
connection,754.25_510.5,27_18,0,root|_|root|_|M8#8_L19#8_L19#10_|_|#0033cc|_|4|_|27#18
connection,750.75_444,25.5_16,0,root|_|valve1_27|_|M17.5#8_L8#8_|_|#0033cc|_|4|_|25.5#16
connection,724.75_444,38_16,0,valve1_27|_|bucket_6|_|M30#8_L8#8_|_|#0033cc|_|4|_|38#16
connection,733.75_405,16_32.5,0,valve1_26|_|root|_|M8#24.5_L8#8_L8#14_L8#14_|_|#0033cc|_|4|_|16#32.5
connection,722.75_422,27_30,0,bucket_6|_|valve1_26|_|M8#22_L19#22_L19#8_|_|#0033cc|_|4|_|27#30
connection,643.75_363.25,91.5_50.5,0,valve1_25|_|bucket_5|_|M8#8_L55.5#8_L55.5#42.5_L83.5#42.5_|_|#000000|_|2|_|91.5#50.5
connection,622.75_391.75,31.5_17,0,valve9_7|_|root|_|M8#8_L23.5#8_L11.5#8_L11.5#9_|_|#000000|_|2|_|31.5#17
connection,624.25_376.75,29.5_17.5,0,valve9_6|_|root|_|M8#8_L21.5#8_L15#8_L15#9.5_|_|#000000|_|2|_|29.5#17.5
connection,623.25_363.75,37.5_16,0,valve9_5|_|valve1_25|_|M8#8_L29.5#8_|_|#000000|_|2|_|37.5#16
connection,514.25_497.5,62.5_16,0,valve5_19|_|connection_131|_|M54.5#8_L8#8_|_|#0033cc|_|2|_|62.5#16
connection,513.25_514.5,63_16.258064516129032,0,valve5_20|_|connection_131|_|M54#8_L8#8_|_|#990000|_|2|_|62#16
connection,479.25_360,50.5_173,0,root|_|connection_139|_|M42.5#165_L42.5#8_L8#8_|_|#000000|_|2|_|50.5#173
connection,590.25_402.5,26_16,0,root|_|connection_166|_|M8#8_L18#8_|_|#660099|_|4|_|26#16
valve9,619.4682826366056_422.8603052416399,12.526878502250046,0,undefined
connection,587.25_386.5,30.5_16,0,valve5_22|_|connection_166|_|M8#8_L22.5#8_|_|#660099|_|4|_|30.5#16
connection,599.75_421.5,27.5_16,0,valve9_10|_|connection_166|_|M19.5#8_L8#8_|_|#000000|_|2|_|27.5#16
connection,600.75_404.5,28.5_16,0,valve9_8|_|connection_166|_|M20.5#8_L8#8_|_|#000000|_|2|_|28.5#16
connection,600.75_391.5,27_16,0,valve9_7|_|connection_166|_|M19#8_L8#8_|_|#000000|_|2|_|27#16
connection,601.25_377.5,27_16,0,valve9_6|_|connection_166|_|M19#8_L8#8_|_|#000000|_|2|_|27#16
connection,600.25_364,27.5_16,0,valve9_5|_|connection_166|_|M19.5#8_L8#8_|_|#000000|_|2|_|27.5#16
connection,559.25_402,33.5_16,0,root|_||_|M8#8_L25.5#8_|_|#660099|_|4|_|33.5#16
connection,559.25_386,33.5_16,0,root|_||_|M8#8_L25.5#8_|_|#660099|_|4|_|33.5#16
connection,716.75_495,16_35,0,valve1_23|_|bucket_7|_|M8#8_L8#27_|_|#AAA|_|6|_|16#35
connection,716.25_481,16_31,0,valve1_24|_||_|M8#8_L8#23_|_|#AAA|_|6|_|16#31
connection,716.25_461.5,16_41,0,bucket_6|_||_|M8#8_L8#33_|_|#AAA|_|6|_|16#41
connection,716.25_423.5,16_33,0,valve1_22|_|bucket_6|_|M8#8_L8#25_|_|#AAA|_|6|_|16#33
connection,716.25_411.5,16_32,0,valve1_21|_||_|M8#8_L8#24_|_|#AAA|_|6|_|16#32
connection,716.25_393,16_35,0,bucket_5|_|valve1_21|_|M8#8_L8#27_|_|#AAA|_|6|_|16#35
connection,625.25_184.25,136_176,0,valve1_20|_|connection_154|_|M8#8_L19.5#8_L19.5#118_L128#118_L128#168_L102#168_|_|#AAA|_|4|_|136#176
connection,611.75_171.25,17_32,0,valve1_20|_|root|_|M8#24_L8#8_L8#14.5_L9#14.5_|_|#0033cc|_|4|_|17#32
connection,612.25_184.25,16_37,0,valve1_20|_|connection_51|_|M8#8_L8#29_|_|#0033cc|_|4|_|16#37
connection,704.75_328,31_69.5,0,separator_2|_|bucket_5|_|M8#8_L23#8_L23#61.5_|_|#AAA|_|4|_|31#69.5
connection,700.25_343,28.25_56,0,separator_2|_|bucket_5|_|M8#8_L8#19.5_L20.25#31.75_L20.25#48_|_|#AAA|_|4|_|28.25#56
connection,668.75_307,29.5_27.5,0,separator_2|_|root|_|M21.5#19.5_L8#19.5_L8#8_L8#17_L8.5#17_|_|#AAA|_|4|_|29.5#27.5
monitoring,589.7653607947802_350.40756770587626,3,0,undefined
connection,543.25_351.5,169_18,0,valve9_4|_|root|_|M8#8_L161#8_L149#8_L149#10_|_|#000000|_|2|_|169#18
connection,477.75_351.5,64_16,0,valve9_4|_|connection_139|_|M56#8_L8#8_|_|#000000|_|2|_|64#16
connection,607.75_450.5,31_16,0,valve9_3|_|connection_119|_|M23#8_L8#8_|_|#666666|_|2|_|31#16
connection,637.75_450.5,27_18.5,0,valve9_3|_|root|_|M8#8_L19#8_L19#10.5_|_|#666666|_|2|_|27#18.5
monitoring,608.5517400121636_443.9714496447382,3.5842854695094255,270,undefined
monitoring,609.0326582778154_450.6883162482066,3.5842854695094255,270,undefined
monitoring,620.542260643796_481.67102118344235,3.5842854695094255,90,undefined
monitoring,620.6310249937206_493.2398644424255,3.5842854695094255,90,undefined
monitoring,621.9593292505112_519.3848969863259,3.5842854695094255,90,undefined
monitoring,621.6611307281472_529.9766494390661,3.5842854695094255,90,undefined
connection,524.25_367.5,60.5_16,0,valve2_1|_||_|M8#8_L52.5#8_|_|#33ff66|_|2|_|60.5#16
connection,477.25_367.5,61.5_16,0,valve2_1|_|connection_139|_|M53.5#8_L8#8_|_|#33ff66|_|2|_|61.5#16
connection,477.75_323,70.5_24.499999999999996,0,valve9_0|_|valve2_0|_|M8#16.5_L8#8_L62.5#8_|_|#ffcc66|_|2|_|70.5#24.5
connection,443.25_347,46.99999999999999_25.97368421052632,0,root|_|connection_148|_|M8#8_L8#34_L68#34_|_|#33ff66|_|3|_|76#42
connection,477.75_341,16_50,0,tank3_3|_|valve9_0|_|M8#42_L8#8_|_|#ffcc66|_|2|_|16#50
connection,482.25_424,95_127,0,valve5_21|_|tank3_3|_|M87#119_L30#119_L30#8_L8#30_|_|#990000|_|2|_|95#127
connection,515.25_460,29.5_16,0,valve9_2|_|connection_131|_|M21.5#8_L8#8_|_|#666666|_|2|_|29.5#16
connection,493.75_408.5,72.5_40,0,valve9_1|_|tank3_3|_|M64.5#32_L64.5#8_L8#8_|_|#666666|_|2|_|72.5#40
connection,537.75_460.5,31_16,0,valve9_2|_|connection_123|_|M8#8_L23#8_|_|#666666|_|2|_|31#16
connection,597.25_535,27.5_16,0,valve7_3|_|connection_121|_|M8#8_L19.5#8_|_|#990000|_|2|_|27.5#16
connection,575.75_535,25_16,0,valve7_3|_||_|M17#8_L8#8_|_|#990000|_|2|_|25#16
connection,574.25_515,27_16,0,valve7_2|_||_|M19#8_L8#8_|_|#990000|_|2|_|27#16
connection,549.75_447.5,32.5_29,0,valve5_18|_||_|M24.5#21_L8#21_L8#8_|_|#666666|_|2|_|32.5#29
connection,593.75_515,33_16,0,root|_||_|M8#8_L25#8_|_|#990000|_|2|_|33#16
connection,571.25_497.5,31.5_16,0,valve7_1|_|valve5_19|_|M23.5#8_L8#8_|_|#0033cc|_|2|_|31.5#16
connection,592.75_497,35_16,0,valve7_1|_||_|M8#8_L27#8_|_|#0033cc|_|2|_|35#16
connection,595.75_460,30.5_16,0,valve7_0|_||_|M8#8_L22.5#8_|_|#666666|_|2|_|30.5#16
connection,571.25_460,33.5_16,0,valve7_0|_||_|M25.5#8_L8#8_|_|#666666|_|2|_|33.5#16
connection,535.75_323,39.5_16,0,valve10_0|_||_|M31.5#8_L8#8_|_|#ffcc66|_|2|_|39.5#16
connection,579.75_327,29.5_16,0,tank1_5|_||_|M21.5#8_L8#8_|_|#ffcc66|_|2|_|29.5#16
connection,995.25_313.25,108.5_26,0,root|_|root|_|M100.5#8_L100.5#18_L8#18_L34.5#18_L34.5#16_L34.5#16_|_|#ffcc66|_|3|_|108.5#26
connection,1087.75_272.75,16_45.5,0,tank3_8|_||_|M8#8_L8#37.5_|_|#ffcc66|_|3|_|16#45.5
connection,1039.25_87.75,62.5_127,0,tank2_3|_|tank3_8|_|M8#37_L8#8_L54.5#8_L54.5#119_|_|#ffcc66|_|3|_|62.5#127
connection,907.75_295.75,107.5_30.5,0,valve5_16|_|root|_|M99.5#8_L99.5#21.5_L8#21.5_L36#21.5_L36#22.5_|_|#33cccc|_|3|_|107.5#30.5
connection,999.25_263.25,16_37,0,tank3_7|_|valve5_16|_|M8#8_L8#29_|_|#33cccc|_|3|_|16#37
valve5,1002.0847579165757_290.4310555340308,16.269873117732345,90,undefined
connection,1039.25_216.25,16.5_32.5,0,valve5_15|_|root|_|M8#8_L8#24.5_L8#16_L8.5#16_|_|#33cccc|_|3|_|16.5#32.5
connection,1039.25_185.75,16_36,0,tank2_3|_|valve5_15|_|M8#8_L8#28_|_|#33cccc|_|3|_|16#36
connection,973.25_221.75,44.5_16,0,valve5_14|_|tank3_7|_|M8#8_L36.5#8_|_|#33cccc|_|3|_|44.5#16
connection,997.75_145.25,38.5_55.5,0,valve8_3|_|connection_118|_|M8#47.5_L8#38_L30.5#38_L30.5#8_|_|#ffcc66|_|3|_|38.5#55.5
connection,998.25_197.75,16_42.5,0,valve8_3|_|tank3_7|_|M8#8_L8#34.5_|_|#ffcc66|_|3|_|16#42.5
