Type,Pos,Width,Rotate,Attr
valve5,212.40747055067607_559.7516606733279,19.358068290000006,0,undefined
capacitor,162.7353934926038_563.6808820256268,3.000000000000001,180,undefined
capacitor,241.25_562.2565534093646,3.0000000000000004,180,undefined
separator,370.7832107085632_24.283210708563274,80,0,undefined
text,413.7120892589178_53.712089258917786,51.552302102142534,0,一旋|_|true|_|#000000
valve4,411.9456891851375_268.9456891851375,40,0,undefined
text,89.32841614463268_482.8284161446327,50.92158385536732,0,星形给料器A|_|false|_|#000000
text,166.77774029422912_436.9055788474242,50.921600341796875,0,星形给料器B|_|false|_|#000000
tank3,462.952816520027_378.45281652002706,40,0,undefined
separator,551.2528683277137_7.958001378145809,54.99713167228629,0,undefined
text,581.1817468780683_28.5682353751929,35.317864833735506,0,二旋|_|true|_|#000000
tank1,578.7642965777699_116.15214595398459,22.485703422230145,0,undefined
valve8,621.7315091771302_92.06002246383355,7.493529851035654,90,undefined
monitoring,605.9169725467998_89.42406732789146,4.33302745320021,0,undefined
monitoring,639.9782084281967_91.17065329074444,3.6630942367317063,0,undefined
monitoring,580.978673023455_107.82766668747149,3.705028543262316,270,undefined
tank1,579.7784752457344_207.27072712959023,22.485703422230145,0,undefined
valve1,585.2382472026592_178.18765227643405,18.5589551502439,0,undefined
valve1,585.9627311873987_192.6943826402741,18.5589551502439,0,undefined
tank1,545.0829204305984_206.9425985913902,22.485703422230145,0,undefined
connection,538.25_62.25,55_36.15384615384615,0,root|_|connection_60|_|M8#8_L8#39_L63.5#39_|_|#990000|_|5|_|71.5#47
valve5,512.2906930034695_213.4694387213994,13.456218201585369,0,undefined
connection,500.75_249.75,17_72.37142857142857,0,root|_|root|_|M8#8.5_L8#66.5_L8#8_L8#19_L9.5#19_|_|#0033cc|_|10|_|17.5#74.5
valve5,529.0941288442283_259.6048030058488,13.456218201585369,0,undefined
valve5,542.5684564790428_274.5784855956792,13.456218201585369,0,undefined
valve1,592.7209262610868_287.7936008313069,18.5589551502439,270,undefined
valve8,550.7598857515377_301.1804723805875,7.177245269376937,90,undefined
tank2,674.8181844808764_62.318184480876425,40,0,undefined
text,688.2532505530423_77.25325055304239,63.957899597826554,0,废热回收塔|_|true|_|#000000
